"","Sector.Detail","Sector","Sales.Nominal","Labor.Cost","Raw.Material.Cost","Electricity.Cost","Capital.Value","Country"
"243",19,1,3.456e+09,6e+08,3e+08,3e+06,6e+08,"Paraguay"
"282",21,1,4.8e+10,6e+09,9e+09,1.3e+09,5.5e+10,"Paraguay"
"292",24,1,5e+10,5e+09,1.8e+10,2e+08,1.5e+11,"Paraguay"
"321",25,1,3.5e+08,1.5e+08,1.1e+08,2e+07,5e+08,"Paraguay"
"343",29,1,8e+09,1.2e+09,4.85e+09,29500000,4.5e+09,"Paraguay"
"351",15,1,6.72e+11,5.6e+10,5.04e+11,3e+08,8.4e+11,"Paraguay"
"404",24,1,2e+09,4e+08,4e+08,1.5e+07,8e+08,"Paraguay"
"421",15,1,4e+09,1.6e+09,1e+09,9.5e+07,2.22e+10,"Paraguay"
"481",29,1,5e+09,155800000,2.79e+08,1.2e+07,6.7e+09,"Paraguay"
"501",15,1,2e+10,3e+09,8e+09,6e+08,3e+10,"Paraguay"
"592",28,1,89330780160,3.825e+09,4.52e+09,5.4e+08,1674952128000,"Paraguay"
"624",17,1,1.5e+09,7.2e+08,6.5e+08,19500000,9e+09,"Paraguay"
"633",22,1,9.5e+08,2.4e+08,2.8e+08,1.8e+07,6e+08,"Paraguay"
"651",25,1,1e+09,3e+08,2.5e+08,1e+08,1e+09,"Paraguay"
"691",21,1,2.2e+09,6.6e+08,6.75e+08,2.2e+08,1.5e+10,"Paraguay"
"702",22,1,6e+09,5e+08,2.4e+09,7.8e+07,7e+08,"Paraguay"
"722",18,1,2.26e+10,4.4e+09,8.8e+09,6.6e+08,840641372758050,"Paraguay"
"763",22,1,1e+08,4e+07,2e+07,4e+06,1.5e+08,"Paraguay"
"771",15,1,7.02e+10,7.02e+09,3.51e+10,7e+08,5.265e+10,"Paraguay"
"782",24,1,6.6e+10,9e+09,2.2e+10,1.8e+08,2.77e+11,"Paraguay"
"822",22,1,2.5e+10,9e+09,5.5e+09,5e+08,4e+10,"Paraguay"
"832",15,1,6.5e+09,1e+09,9.75e+08,1.95e+09,334990425600,"Paraguay"
"842",25,1,1.1e+10,1.76e+09,4.4e+09,214500000,4.4e+09,"Paraguay"
"931",22,1,5.5e+08,1.8e+08,2e+08,8400000,1e+09,"Paraguay"
"951",15,1,3.6375e+10,1.8956e+10,4.62e+08,3.6e+08,8275145000,"Paraguay"
"1003",15,1,7.5e+08,2.16e+08,2.5e+08,2.5e+07,1e+09,"Paraguay"
"1011",36,1,3.6e+09,5.28e+08,7e+08,4.8e+08,2.8e+09,"Paraguay"
"1032",29,1,1.7e+10,6e+09,5.5e+09,1e+08,1e+10,"Paraguay"
